id,created_at,username,followers,text,source,url,place_type,name,full_name,country_code,country,language
1251395067400425472,Sat Apr 18 06:20:08 +0000 2020,jjkeyxx_,937,tbtb ngantuk bgt anjir sksjskaj&gt;_&lt;,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/3d6c0e4dd121c494.json,city,Pasir Sakti,"Pasir Sakti, Indonesia",ID,Indonesia,in
1251395071271858177,Sat Apr 18 06:20:09 +0000 2020,albertisii77,316,@festerInfection apa merknya irc?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/00ce43ecd091a5e8.json,city,Kebayoran Baru,"Kebayoran Baru, Indonesia",ID,Indonesia,in
1251395072123256835,Sat Apr 18 06:20:09 +0000 2020,sarahnzri,600,@MohdIrsyaduddin Dok lagiii baru sampai 7 kot rasanya,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/5435bbde4e2ff5ec.json,city,Rusila,"Rusila, Terengganu",MY,Malaysia,in
1251395072123260933,Sat Apr 18 06:20:09 +0000 2020,vianameera_,428,"Oke..GA nya udah closed ya 😎

Selamat 🎊🎉💥
Ini nama2 pemenang yg beruntung :

1. @aku_manusia_nih
2.… https://t.co/rpefAzs1Mx","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/e28dafbd84dde8ca.json,admin,Blora,"Blora, Jawa Tengah",ID,Indonesia,in
1251395074543370240,Sat Apr 18 06:20:10 +0000 2020,edotensei05,188,@Andrianbye1 @woidapp Pasti ada pala-palanya yg ngajakin tuhhh ... Kalo jaman SMP mah kek elu gitu kir,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/0c1c821962584454.json,city,Pamulang,"Pamulang, Indonesia",ID,Indonesia,in
1251395075969478657,Sat Apr 18 06:20:10 +0000 2020,tashaaazmn,139,@4syh_ bakal tak single dah nampak gayanya 😔✊🏻,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/451be04f15ca84a5.json,city,Rasah,"Rasah, Negeri Sembilan",MY,Malaysia,in
1251395075952672768,Sat Apr 18 06:20:10 +0000 2020,hary717,2551,@twitpos ...saham pendiri tergerus cpt krn masuk investors baru n d injek dana terus menerus...,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/26173b1d9cfc15b2.json,city,Sidoarjo,"Sidoarjo, Indonesia",ID,Indonesia,in
1251395075940089856,Sat Apr 18 06:20:10 +0000 2020,lingiessi,1064,"Ngga,  aku balik diem juga 2 menit kemudian dia yang elus palaku hahaha","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/25f5e9dbc1b635ac.json,city,Gambir,"Gambir, Indonesia",ID,Indonesia,in
1251395076405641222,Sat Apr 18 06:20:10 +0000 2020,DeaRifia,1027,Menarik bacain komen2 netizen yg ternyata perihal gw elo dan aku kamu di beberapa linguistic scene jd masalah sendi… https://t.co/fr92KOQF64,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/309cdad1ed489dec.json,city,Beji,"Beji, Indonesia",ID,Indonesia,in
1251395081908572160,Sat Apr 18 06:20:11 +0000 2020,kaaahtra,95,@ladyanajila @collegemenfess anak um inii,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/dae2f88e466b287b.json,city,Pekalongan,"Pekalongan, Indonesia",ID,Indonesia,in
1251395087239540736,Sat Apr 18 06:20:13 +0000 2020,DodoreremiDo,108,"Bersedihnya udahan , saatnya kembali ke jalan ninjaku","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/0c1c821962584454.json,city,Pamulang,"Pamulang, Indonesia",ID,Indonesia,in
1251395087512162304,Sat Apr 18 06:20:13 +0000 2020,zhvny_,3,cara hemat kuota tu gmnsi:) 10GB gue anjir sisa 4GB lagi udh kepake 6GB selama 4 hari,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/ae08c074b545d4a3.json,city,Serang,"Serang, Indonesia",ID,Indonesia,in
1251395088850096129,Sat Apr 18 06:20:13 +0000 2020,Dhani34901238,325,"@SandalSwallowId Ehmmm... 
Galau nie","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/8f6d8fbc7060e679.json,admin,Kalimantan Timur,"Kalimantan Timur, Indonesia",ID,Indonesia,in
1251395091471536134,Sat Apr 18 06:20:14 +0000 2020,Novianaaa11,402,Jadi kapan ?,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/c7a681fcdb2c6cfe.json,city,Semanu,"Semanu, Indonesia",ID,Indonesia,in
1251395091962294272,Sat Apr 18 06:20:14 +0000 2020,fityaphets,312,@faiz_ishakk Nama pon dah habis PKP (back to normal) so lantak lah syarikat bas ke lori ke train ke nak berjalan. H… https://t.co/SVCWt3ZcAK,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/db27c7142e99675d.json,city,Kapar,"Kapar, Selangor",MY,Malaysia,in
1251395094130814976,Sat Apr 18 06:20:14 +0000 2020,tantannnnnnnnnn,785,@YaaSoley @ikhmalsalehudin Hehehe tu pasal ayah still nak buat kenduri walaupun lambat hahhahaha,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/e10c8957940d143b.json,city,Kampar,"Kampar, Perak",MY,Malaysia,in
1251395094319476736,Sat Apr 18 06:20:14 +0000 2020,nazarulazreel,526,@wtmtoday @rabihah_salleh Ruby rt pasal ml ? 😱😱😱,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/bfd31bd14b32e206.json,city,Kuala Nerus,"Kuala Nerus, Terengganu",MY,Malaysia,in
1251395097855315968,Sat Apr 18 06:20:15 +0000 2020,Dewaqx,851,"@netmediatama Nyanyi2 dengan bait sedikit2, misal "" sungguh sweet Edi mencintaimu "" abis tu bengong lagi","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/d283414bdfab2230.json,city,Kawali,"Kawali, Indonesia",ID,Indonesia,in
1251395098144735232,Sat Apr 18 06:20:15 +0000 2020,leskirizswara,298,"Pantes ngaco, dokter hewan toh. Menenangkan supaya ga panik bagus, tp menenangkan dengan info yg salah justru jaub… https://t.co/0Bu3O7ekL7","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/7c7e93f29191841c.json,city,Ciledug,"Ciledug, Indonesia",ID,Indonesia,in
1251395099449151493,Sat Apr 18 06:20:16 +0000 2020,TIIIIIIIIMOTHY,8470,@areennnnnnnnn 😃😃😃tapi saya malu gila skskksks,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/77def60fb9166b95.json,city,Sungai Buloh,"Sungai Buloh, Selangor",MY,Malaysia,in
1251395099788898308,Sat Apr 18 06:20:16 +0000 2020,CikaliStOrmZess,497,@datukhensem @IsmailSabri60 Da tnya.. katanya ad laporan polis,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",https://api.twitter.com/1.1/geo/id/2fef6337a76054ed.json,admin,Petaling,"Petaling, Selangor",MY,Malaysia,in
1251395104104804354,Sat Apr 18 06:20:17 +0000 2020,mcberanakempat,1016,@rendyardiand Grejo bukak aku parkir,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/3f41fcdf3ea8abc7.json,city,Wonosari,"Wonosari, Indonesia",ID,Indonesia,in
1251395106877267968,Sat Apr 18 06:20:17 +0000 2020,segoogooreng,438,@chxryybombs Bukan aku itu bukan,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/b4ad9b44d9571074.json,city,Pati,"Pati, Indonesia",ID,Indonesia,in
1251395111444860929,Sat Apr 18 06:20:19 +0000 2020,aziz_ansori,614,"@idgeekinout Mena Massoud as Aladdin.

Banyak yang bandingin sama Zayn Malik padahal Mena di film ini keren banget~","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",https://api.twitter.com/1.1/geo/id/42ad5fa96801df98.json,city,Pagar Marbau,"Pagar Marbau, Indonesia",ID,Indonesia,in
